country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,,31.1,,,,,,,,,,37,,,,,55.9,42.3,47.6,,37.1,,45.9,,,,53.1,,54.2,,50.5,49.6,50.4,49.5,50.8,,50.7,49.9,51.2,51.2,51.7,50,48,47.8,47.2,45.9,45.9,49.8,50.4,50.3,51,51,51.5,50.7,50.6,50.8,50.9,52,53.2,54
Iran,,,,,,,12.2,,,,,,7.86,,,,13.4,,,,,,,,,,8.95,,,,,9.92,,,,,10.6,,,,,,,,,19.1,,17.3,14.9,15.9,15.3,,,12.4,13.1,14.4,16.3,17.4,17.6,
Iraq,,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,10.5,,,,,,,,,,8.75,,,,,,,,,,12.2,,,,,11.9,,13.6,,14.6,11.2,,
Ireland,,29.7,,,,,29.4,,,,,28.2,,,,29.8,,28.2,,,,29.7,,34.2,33.5,33.3,33.8,34.9,34.4,34.6,35.4,36,36.8,38.6,39.5,39.9,41.6,42.7,43.9,45.9,47.2,47.6,48.8,49.1,49.4,51.8,53,57,56.8,56.1,55.3,55,54.8,55.3,54.9,54.9,55.6,55.7,56,56.2
Israel,,,,,,,,,,,,,32,,30.8,,32,,34.7,34.9,35.7,36.1,36.1,40.1,,,38.5,38.9,40,41.4,46.3,46.7,47.9,49.1,50.7,51.6,51.4,51.4,51.3,52.5,53.5,53.7,53.3,54.2,54.7,55.3,55.7,56.2,56.2,57.1,57.5,57.1,58.1,58.2,59.2,59.1,59.4,59.3,59.8,59.6
Italy,,24.6,,,,,,,,,,25.4,,,,,,31,30.9,31.7,32.3,33.2,32.7,32.9,32.9,33.1,34.1,34.2,34.7,35.1,35,36,34,33.6,33.5,33.6,34,34.2,34.7,35.4,35.7,36.2,36.8,37.3,38.5,38.1,38.2,37.9,38.7,38.2,38.2,38.4,39.7,39.7,40.1,39.8,40.5,40.9,41.1,41.3
Jamaica,49.8,,,,,,,,,,36.5,,,,58.6,62,61.3,,64.3,,40.4,65.2,66.5,,,40.5,,,47,,62.4,39.2,,,62.4,61.8,60.6,59,57.6,56.5,,53.6,55.3,53,55.3,,,57,57.4,55.7,54.8,54.9,54.9,56.3,55.9,56.2,58.6,59.1,57.9,58.5
Japan,54.5,54.3,53.4,52,51.1,50.6,50.9,51.2,50.7,50.1,49.9,48.8,47.7,48.2,46.5,45.7,45.8,46.6,47.4,47.6,47.6,47.7,48,49,48.9,48.7,48.6,48.6,48.9,49.5,50.1,50.7,50.7,50.3,50.2,50,50,50.4,50.1,49.6,49.3,49.2,48.5,48.3,48.3,48.4,48.5,48.5,48.4,48.5,48.5,48.3,48.2,48.9,49.2,49.6,50.3,51.1,52.5,53.3
Jordan,,4.38,,,,,,,,,,,,,,10.2,,,,6.67,,,,,,,,,,,,,,,,,,,,,12.3,11.7,12.3,11.2,,11.7,11.9,14.7,14.2,14.9,14.7,14.7,14.1,13.2,12.6,,,,,13.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,65,64.8,,,,66.7,,,,,,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,,,70.8,,,,,,,,,,70.4,,,,,,59.5,56.6,,,71.5,,,,,,,71.5,,,
Kiribati,,,,,,,,,,,,,,,,,,,60.9,,,,,,,,,,,,67.9,,,,,77.5,,,,,,,,,,20.4,,,,,52.3,,,,,33.6,,,,
Kuwait,,,,,,8.94,,,,,9.98,,,,,14.9,,,,,20.2,,,24,,31.1,,,34.3,,,,,,,43.5,32.4,33.2,,,,,,46.8,,45.8,55.5,56.8,,56,59.5,,,,,56.9,49.9,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.6,,,,,,,,,,,,,55.3,,53.5,,54.2,,,52.7,52.4,52.8,51.8,49.2,50.4,49.9,48.3,45.9,44.1,
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.3,,,,,,,,94.4,,66.3,,,,,76.7,,,,,,,36.5,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.1,,,,,,,51.5,52.3,51.6,49.9,49,50.2,51.4,50.9,50.7,50.7,52.2,53.1,55,54.5,53.9,53.1,54.3,54,53.4,54.1,55,55.2,55.8,55.7
Lebanon,,,,,,,,,,,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4,,,21.1,,22.4,,,,,,,,,,
Lesotho,,,,,,,56.6,,,,,,,,,,28.1,,,,,,,,,,36.5,,,,,,,,,,26.6,56.2,,67.5,,,,,,,31.6,,40.1,,,,,57.3,,,,,,
Liberia,,,42.9,,,,,,,,,,,,24.8,,,,,,,,,,45.7,,,,,,,,,,,,,,,,,,,,,,,68.2,,,54.7,,61.5,,71.3,71.3,72.2,,,
